title,actor,year
Love the Coopers,Olivia Wilde,2016
Love the Coopers,Alex Borstein,2016
Love the Coopers,TimothÃ©e Chalamet,2016
Love the Coopers,Maxwell Simkins,2016
Aferim!,Teodor Corban,2016
Aferim!,Mihai Comanoiu,2016
Aferim!,Cuzin Toma,2016
Against the Wild: Survive the Serengeti,Jeri Ryan,2016
Against the Wild: Survive the Serengeti,John Paul Ruttan,2016
Against the Wild: Survive the Serengeti,Ella Ballentine,2016
Against the Wild: Survive the Serengeti,Ashley Dowds,2016
Campanadas a medianoche,Orson Welles,2016
Yellow Day,Drew Seeley,2016
Yellow Day,Lindsey Shaw,2016
Yellow Day,Ashley Boettcher,2016
Yellow Day,Akeem Smith,2016
Yellow Day,Meagan Holder,2016
Por Siempre,Stephen Anthony Bailey,2016
Por Siempre,Madison Lawlor,2016
Dekalog,Henryk Baranowski,2016
Demon,Itay Tiran,2016
Puerto Ricans in Paris,Luis GuzmÃ¡n,2016
Puerto Ricans in Paris,Edgar Garcia,2016
Victor,Patrick Davis,2016
Victor,Lisa Vidal,2016
Victor,Josh Pence,2016
Il racconto dei racconti,Salma Hayek,2016
Il racconto dei racconti,Vincent Cassel,2016
Il racconto dei racconti,Toby Jones,2016
Il racconto dei racconti,John C. Reilly,2016
Cameraperson,Kirsten Johnson,2016
Paterson,Adam Driver,2016
Paterson,Golshifteh Farahani,2016
V paprscÃ­ch slunce,Vitaliy Manskiy,2016
Rock On 2,Shujaat Saudagar,2016
Tower,Monty Muir,2016
Tower,Violett Beane,2016
Seondal: The Man who Sells the River,Yoo Seung-Ho,2016
Toni Erdmann,Peter Simonischek,2016
Toni Erdmann,Sandra Huller,2016
So Young 2: Never Gone,Kris Wu,2016
So Young 2: Never Gone,Liu Yifei,2016
Live by Night,Ben Affleck,2016
Live by Night,Elle Fanning,2016
Live by Night,Brendan Gleeson,2016
Live by Night,Chris Messina,2016
Live by Night,Sienna Miller,2016
Live by Night,Zoe Saldana,2016
Live by Night,Chris Cooper,2016
New York New York,Ethan Ruan,2016
New York New York,Du Juan,2016
Other People,Jesse Plemons,2016
Other People,Molly Shannon,2016
Morris from America,Craig Robinson,2016
Morris from America,Markees Christmas,2016
Chaharshanbe-soori,Hedye Tehrani,2016
No One's Life Is Easy: So I Married an Anti-Fan,Kim Jae-Young,2016
Sufat Chol,Lamis Ammar,2016
Sufat Chol,Ruba Blal Asfour,2016
Los sures,Diego Echeverria,2016
Shan he gu ren,Zhao Tao,2016
Shan he gu ren,Zijian Dong,2016
Cock and Bull,Liu Ye,2016
A Street Cat Named Bob,Luke Treadaway,2016
Chongtian Huo,Daniel Wu,2016
Chongtian Huo,Jingchu Zhang,2016
Chongtian Huo,Zhang Ruiying,2016
Chongtian Huo,Fan Guangyao,2016
My Best Friend's Wedding,Shu Qi,2016
Saala Khadoos,R. Madhavan,2016
Le tout nouveau testament,BenoÃ®t Poelvoorde,2016
Le tout nouveau testament,Pili Groyne,2016
King Cobra,Garrett Clayton,2016
King Cobra,Christian Slater,2016
King Cobra,Keegan Allen,2016
King Cobra,James Franco,2016
Les Cowboys,Francois Damiens,2016
Les Cowboys,Finnegan Oldfield,2016
The Congressman,Treat Williams,2016
Do Not Resist,Craig Atkinson,2016
Tamjung Hong Gil-dong: Sarajin Ma-eul,Lee Je-Hoon,2016
Tamjung Hong Gil-dong: Sarajin Ma-eul,Kim Sung-Kyun,2016
Max Rose,Jerry Lewis,2016
E gun tian shi,Chao Deng,2016
E gun tian shi,Sun Li,2016
Maze Runner: The Scorch Trials,Dylan OâBrien,2016
Maze Runner: The Scorch Trials,Kaya Scodelario,2016
Maze Runner: The Scorch Trials,Thomas Brodie-Sangster,2016
Maze Runner: The Scorch Trials,Ki Hong Lee,2016
Em La Ba Noi Cua Anh,Phan Gia Nhat Linh,2016
Sicario,Emily Blunt,2016
Sicario,Benicio del Toro,2016
Sicario,Josh Brolin,2016
Microbe et Gasoil,Ange Dargent,2016
Microbe et Gasoil,Theophile Baquet,2016
Microbe et Gasoil,Audrey Tautou,2016
El Rey Del Once,Alan Sabbagh,2016
Creative Control,Benjamin Dickinson,2016
The Dark Horse,Cliff Curtis,2016
Secret in Their Eyes,Chiwetel Ejiofor,2016
Secret in Their Eyes,Nicole Kidman,2016
Secret in Their Eyes,Julia Roberts,2016
Daughters of the Dust,Barbara-O,2016
Daughters of the Dust,Cheryl Lynn Bruce,2016
Daughters of the Dust,Cora Lee Day,2016
Too Late,John Hawkes,2016
Too Late,Vail Bloom,2016
Too Late,Joanna Cassidy,2016
Too Late,Jeff Fahey,2016
Too Late,Robert Forster,2016
Too Late,Brett Jacobsen,2016
Too Late,Dichen Lachman,2016
Too Late,Dash Mihok,2016
Too Late,Sydney Tamia Poitier,2016
Too Late,Crystal Reed,2016
Too Late,Rider Strong,2016
Too Late,Natalie Zea,2016
Girl Asleep,Bethany Whitmore,2016
Siganitalga,Im Soo-jeong,2016
Siganitalga,Jeong-seok Jo,2016
The Daughter,Geoffrey Rush,2016
The Daughter,Ewen Leslie,2016
The Daughter,Paul Schneider,2016
The Daughter,Miranda Otto,2016
The Daughter,Anna Torv,2016
The Daughter,Odessa Young,2016
The Daughter,Sam Neill,2016
The Fallen Idol,Ralph Richardson,2016
The Fallen Idol,MichÃ¨le Morgan,2016
Hatuna MeNiyar,Moran Rosenblatt,2016
DONGJU; The Portrait of A Poet,Kang Ha-neul,2016
L'attesa,Juliette Binoche,2016
L'attesa,Lou de Laage,2016
The Lovers And The Despot,Robert Cannan,2016
The Lovers And The Despot,Adam Ross,2016
Regression,Ethan Hawke,2016
Regression,Emma Watson,2016
Clown,Laura Allen,2016
Clown,Andy Powers,2016
Clown,Peter Stormare,2016
Burnt,Bradley Cooper,2016
Mon roi,Vincent Cassel,2016
Mon roi,Emmanuelle Bercot,2016
Star Wars Ep. VII: The Force Awakens,Adam Driver,2015
Star Wars Ep. VII: The Force Awakens,Daisy Ridley,2015
Star Wars Ep. VII: The Force Awakens,John Boyega,2015
Jurassic World,Chris Pratt,2015
Avengers: Age of Ultron,James Spader,2015
Inside Out,Amy Poehler,2015
Inside Out,Phyllis Smith,2015
Inside Out,Bill Hader,2015
Inside Out,Lewis Black,2015
Inside Out,Mindy Kaling,2015
Furious 7,Vin Diesel,2015
Furious 7,Paul Walker,2015
American Sniper,Bradley Cooper,2015
American Sniper,Sienna Miller,2015
Minions,Steve Carell,2015
Minions,Sandra Bullock,2015
Minions,Jon Hamm,2015
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,2015
The Martian,Matt Damon,2015
Cinderella,Lily James,2015
Spectre,Daniel Craig,2015
Mission: Impossible-Rogue Nation,Tom Cruise,2015
Pitch Perfect 2,Anna Kendrick,2015
Pitch Perfect 2,Rebel Wilson,2015
Pitch Perfect 2,Anna Camp,2015
Pitch Perfect 2,Brittany Snow,2015
Pitch Perfect 2,Elizabeth Banks,2015
Pitch Perfect 2,Ester Dean,2015
Pitch Perfect 2,Alexis Knapp,2015
Ant-Man,Paul Rudd,2015
Ant-Man,Evangeline Lilly,2015
Ant-Man,Corey Stoll,2015
Ant-Man,Bobby Cannavale,2015
Ant-Man,Michael PeÃ±a,2015
Ant-Man,Michael Douglas,2015
Home,Jim Parsons,2015
Home,Rihanna,2015
Home,Jennifer Lopez,2015
Home,Steve Martin,2015
Home,Matt Jones,2015
Hotel Transylvania 2,Adam Sandler,2015
Hotel Transylvania 2,Andy Samberg,2015
Hotel Transylvania 2,Selena Gomez,2015
Hotel Transylvania 2,Kevin James,2015
Hotel Transylvania 2,David Spade,2015
Hotel Transylvania 2,Steve Buscemi,2015
Hotel Transylvania 2,Keegan-Michael Key,2015
Hotel Transylvania 2,Asher Blinkoff,2015
Hotel Transylvania 2,Jonny Solomon,2015
Hotel Transylvania 2,Sadie Sandler,2015
Hotel Transylvania 2,Sunny Sandler,2015
Fifty Shades of Grey,Dakota Johnson,2015
Fifty Shades of Grey,Jamie Dornan,2015
The SpongeBob Movie: Sponge Out of Water,Tom Kenny,2015
The SpongeBob Movie: Sponge Out of Water,Bill Fagerbakke,2015
The SpongeBob Movie: Sponge Out of Water,Rodger Bumpass,2015
The SpongeBob Movie: Sponge Out of Water,Clancy Brown,2015
The SpongeBob Movie: Sponge Out of Water,Carolyn Lawrence,2015
Straight Outta Compton,"O'Shea Jackson, Jr.",2015
Straight Outta Compton,Corey Hawkins,2015
Straight Outta Compton,Jason Mitchell,2015
Straight Outta Compton,"Neil Brown, Jr.",2015
Straight Outta Compton,Aldis Hodge,2015
San Andreas,Dwayne Johnson,2015
Mad Max: Fury Road,Tom Hardy,2015
Mad Max: Fury Road,Charlize Theron,2015
Mad Max: Fury Road,Hugh Keays-Byrne,2015
The Divergent Series: Insurgent,Shailene Woodley,2015
The Divergent Series: Insurgent,Theo James,2015
Kingsman: The Secret Service,Colin Firth,2015
Kingsman: The Secret Service,Samuel L. Jackson,2015
Kingsman: The Secret Service,Michael Caine,2015
Kingsman: The Secret Service,Mark Strong,2015
Kingsman: The Secret Service,Taron Egerton,2015
Kingsman: The Secret Service,Sofia Boutella,2015
The Peanuts Movie,Noah Schnapp,2015
The Good Dinosaur,Raymond Ochoa,2015
The Good Dinosaur,Lucas Neff,2015
The Good Dinosaur,Jack Bright,2015
Spy!,Melissa McCarthy,2015
Spy!,Jude Law,2015
Spy!,Jason Statham,2015
Trainwreck,Amy Schumer,2015
Trainwreck,Bill Hader,2015
Creed,Michael B. Jordan,2015
Creed,Sylvester Stallone,2015
Daddy's Home,Will Ferrell,2015
Daddy's Home,Mark Wahlberg,2015
Daddy's Home,Linda Cardellini,2015
Tomorrowland,George Clooney,2015
Get Hard,Will Ferrell,2015
Get Hard,Kevin Hart,2015
Terminator: Genisys,Arnold Schwarzenegger,2015
Terminator: Genisys,Jason Clarke,2015
Terminator: Genisys,Jai Courtney,2015
Terminator: Genisys,Emilia Clarke,2015
Taken 3,Liam Neeson,2015
Maze Runner: The Scorch Trials,Dylan OâBrien,2015
Maze Runner: The Scorch Trials,Kaya Scodelario,2015
Maze Runner: The Scorch Trials,Thomas Brodie-Sangster,2015
Maze Runner: The Scorch Trials,Ki Hong Lee,2015
Ted 2,Mark Wahlberg,2015
Ted 2,Seth MacFarlane,2015
Goosebumps,Jack Black,2015
Goosebumps,Dylan Minette,2015
Goosebumps,Odeya Rush,2015
Pixels,Adam Sandler,2015
Pixels,Kevin James,2015
Pixels,Michelle Monaghan,2015
Pixels,Peter Dinklage,2015
Pixels,Josh Gad,2015
Paddington,Ben Whishaw,2015
The Intern,Robert De Niro,2015
The Intern,Anne Hathaway,2015
Paul Blart: Mall Cop 2,Kevin James,2015
Bridge of Spies,Tom Hanks,2015
War Room,Alex Kendrick,2015
War Room,Priscilla Shirer,2015
War Room,TC Stallings,2015
War Room,Beth Moore,2015
War Room,Karen Abercrombie,2015
Magic Mike XXL,Channing Tatum,2015
Magic Mike XXL,Matt Bomer,2015
Magic Mike XXL,Joe Manganiello,2015
Magic Mike XXL,Kevin Nash,2015
Magic Mike XXL,Adam Rodriguez,2015
The Visit,Olivia DeJonge,2015
The Visit,Ed Oxenbould,2015
The Visit,Deanna Dunagan,2015
The Visit,Peter McRobbie,2015
The Wedding Ringer,Kevin Hart,2015
The Wedding Ringer,Josh Gad,2015
The Wedding Ringer,Kaley Cuoco-Sweeting,2015
The Wedding Ringer,Affion Crockett,2015
The Wedding Ringer,Jorge Garcia,2015
The Wedding Ringer,Daniel Gill,2015
The Wedding Ringer,Aaron Takahashi,2015
Black Mass,Johnny Depp,2015
Black Mass,Joel Edgerton,2015
Black Mass,Benedict Cumberbatch,2015
Black Mass,Kevin Bacon,2015
Black Mass,Jesse Plemons,2015
Black Mass,Peter Sarsgaard,2015
Black Mass,Dakota Johnson,2015
Black Mass,Corey Stoll,2015
The Imitation Game,Benedict Cumberbatch,2015
The Imitation Game,Keira Knightley,2015
Vacation,Ed Helms,2015
Vacation,Christina Applegate,2015
Vacation,Skyler Gisondo,2015
Vacation,Steele Stebbins,2015
The Perfect Guy,Sanaa Lathan,2015
The Perfect Guy,Michael Ealy,2015
The Perfect Guy,Morris Chestnut,2015
Fantastic Four,Miles Teller,2015
Fantastic Four,Michael B. Jordan,2015
Fantastic Four,Kate Mara,2015
Fantastic Four,Jamie Bell,2015
Alvin and the Chipmunks: The Road Chip,Jason Lee,2015
Alvin and the Chipmunks: The Road Chip,Justin Long,2015
Alvin and the Chipmunks: The Road Chip,Matthew Gray Gubler,2015
Alvin and the Chipmunks: The Road Chip,Jesse McCartney,2015
Focus,Will Smith,2015
Focus,Margot Robbie,2015
Unbroken,Jack O'Connell,2015
Southpaw,Jake Gyllenhaal,2015
Southpaw,Rachel McAdams,2015
Insidious Chapter 3,Stefanie Scott,2015
Selma,David Oyelowo,2015
Sisters,Amy Poehler,2015
Sisters,Tina Fey,2015
Jupiter Ascending,Channing Tatum,2015
Jupiter Ascending,Mila Kunis,2015
Sicario,Emily Blunt,2015
Sicario,Benicio del Toro,2015
Sicario,Josh Brolin,2015
The Man From U.N.C.L.E.,Henry Cavill,2015
The Man From U.N.C.L.E.,Armie Hammer,2015
The Man From U.N.C.L.E.,Alicia Vikander,2015
"McFarland, USA",Kevin Costner,2015
"McFarland, USA",Michael Aguero,2015
"McFarland, USA",Sergio Avelar,2015
"McFarland, USA",Hector Duran,2015
"McFarland, USA",Rafael Martinez,2015
"McFarland, USA",Johnny Ortiz,2015
"McFarland, USA",Carlos Pratts,2015
"McFarland, USA",Ramiro Rodriguez,2015
Night at the Museum: Secret of the Tomb,Ben Stiller,2015
Night at the Museum: Secret of the Tomb,Robin Williams,2015
Night at the Museum: Secret of the Tomb,Owen Wilson,2015
Night at the Museum: Secret of the Tomb,Dan Stevens,2015
Night at the Museum: Secret of the Tomb,Ben Kingsley,2015
Night at the Museum: Secret of the Tomb,Steve Coogan,2015
Night at the Museum: Secret of the Tomb,Ricky Gervais,2015
Night at the Museum: Secret of the Tomb,Rebel Wilson,2015
Night at the Museum: Secret of the Tomb,Skyler Gisondo,2015
Night at the Museum: Secret of the Tomb,Rami Malek,2015
Night at the Museum: Secret of the Tomb,Patrick Gallagher,2015
Night at the Museum: Secret of the Tomb,Mizuo Peck,2015
The Gift,Jason Bateman,2015
The Gift,Rebecca Hall,2015
The Gift,Joel Edgerton,2015
Everest,Jason Clarke,2015
Everest,Sam Worthington,2015
Everest,Jake Gyllenhaal,2015
The Night Before,Joseph Gordon-Levitt,2015
The Night Before,Seth Rogen,2015
The Night Before,Anthony Mackie,2015
Max,Josh Wiggins,2015
The Age of Adaline,Blake Lively,2015
The Age of Adaline,Michiel Huisman,2015
Krampus,Adam Scott,2015
The Longest Ride,Britt Robertson,2015
The Longest Ride,Scott Eastwood,2015
Into the Woods,Meryl Streep,2015
The Boy Next Door,Jennifer Lopez,2015
The Boy Next Door,Ryan Guzman,2015
Pan,Hugh Jackman,2015
Pan,Garrett Hedlund,2015
Pan,Rooney Mara,2015
Pan,Levi Miller,2015
Hot Pursuit,Reese Witherspoon,2015
Hot Pursuit,Sofia Vergara,2015
The Hobbit: The Battle of the Five Armies,Martin Freeman,2015
The DUFF,Mae Whitman,2015
The DUFF,Robbie Amell,2015
The DUFF,Bella Thorne,2015
The DUFF,Bianca Santos,2015
The DUFF,Ken Jeong,2015
Woman in Gold,Helen Mirren,2015
Woman in Gold,Ryan Reynolds,2015
The Second Best Exotic Marigold Hotel,Judi Dench,2015
The Second Best Exotic Marigold Hotel,Maggie Smith,2015
The Second Best Exotic Marigold Hotel,Bill Nighy,2015
The Second Best Exotic Marigold Hotel,Celia Imrie,2015
The Second Best Exotic Marigold Hotel,Penelope Wilton,2015
The Second Best Exotic Marigold Hotel,Ronald Pickup,2015
The Second Best Exotic Marigold Hotel,Tina Desai,2015
The Second Best Exotic Marigold Hotel,Dev Patel,2015
The Second Best Exotic Marigold Hotel,Lillete Dubey,2015
The Second Best Exotic Marigold Hotel,Richard Gere,2015
The Big Short,Christian Bale,2015
The Big Short,Steve Carell,2015
The Big Short,Ryan Gosling,2015
The Big Short,Brad Pitt,2015
Unfriended,Shelley Hennig,2015
Entourage,Kevin Connolly,2015
Entourage,Adrian Grenier,2015
Entourage,Kevin Dillon,2015
Entourage,Jerry Ferrara,2015
Entourage,Jeremy Piven,2015
Paper Towns,Nat Wolff,2015
Paper Towns,Cara Delevingne,2015
Chappie,Sharlto Copley,2015
Chappie,Dev Patel,2015
Chappie,Hugh Jackman,2015
Crimson Peak,Mia Wasikowska,2015
Crimson Peak,Jessica Chastain,2015
Crimson Peak,Tom Hiddleston,2015
Crimson Peak,Charlie Hunnam,2015
A Walk in the Woods,Robert Redford,2015
A Walk in the Woods,Nick Nolte,2015
The Hateful Eight,Samuel L. Jackson,2015
The Hateful Eight,Kurt Russell,2015
The Hateful Eight,Jennifer Jason Leigh,2015
The Hateful Eight,Walton Goggins,2015
The Hateful Eight,DemiÃ¡n Bichir,2015
The Hateful Eight,Tim Roth,2015
The Hateful Eight,Michael Madsen,2015
The Hateful Eight,Bruce Dern,2015
Annie,Jamie Foxx,2015
Annie,QuvenzhanÃ© Wallis,2015
Joy,Jennifer Lawrence,2015
Joy,Robert De Niro,2015
Joy,Bradley Cooper,2015
Sinister 2,Robert Sloan,2015
Sinister 2,Dartanian Sloan,2015
The Last Witch Hunter,Vin Diesel,2015
No Escape,Owen Wilson,2015
No Escape,Lake Bell,2015
No Escape,Pierce Brosnan,2015
No Escape,Sterling Jerins,2015
No Escape,Claire Geare,2015
Spotlight,Mark Ruffalo,2015
Spotlight,Michael Keaton,2015
Spotlight,Rachel McAdams,2015
Spotlight,Liev Schreiber,2015
Spotlight,Stanley Tucci,2015
Ricki and the Flash,Meryl Streep,2015
Ricki and the Flash,Kevin Kline,2015
Ricki and the Flash,Mamie Gummer,2015
Ricki and the Flash,Rick Springfield,2015
Run All Night,Liam Neeson,2015
Run All Night,Joel Kinnaman,2015
Run All Night,Common,2015
Run All Night,Ed Harris,2015
Love the Coopers,Alan Arkin,2015
Love the Coopers,John Goodman,2015
Love the Coopers,Ed Helms,2015
Love the Coopers,Diane Keaton,2015
Love the Coopers,Jake Lacy,2015
Love the Coopers,Anthony Mackie,2015
Love the Coopers,Amanda Seyfried,2015
Love the Coopers,June Squibb,2015
Love the Coopers,Marisa Tomei,2015
Love the Coopers,Olivia Wilde,2015
Love the Coopers,Alex Borstein,2015
Love the Coopers,TimothÃ©e Chalamet,2015
Love the Coopers,Maxwell Simkins,2015
The Lazarus Effect,Olivia Wilde,2015
Ex Machina,Domhnall Gleeson,2015
Ex Machina,Alicia Vikander,2015
Ex Machina,Oscar Isaac,2015
In the Heart of the Sea,Chris Hemsworth,2015
In the Heart of the Sea,Benjamin Walker,2015
In the Heart of the Sea,Cillian Murphy,2015
In the Heart of the Sea,Tom Holland,2015
The Gallows,Cassidy Gifford,2015
Hitman: Agent 47,Rupert Friend,2015
Project Almanac,Jonny Weston,2015
Project Almanac,Sofia Black-D'Elia,2015
Project Almanac,Sam Lerner,2015
Project Almanac,Allen Evangelista,2015
Project Almanac,Ginny Gardner,2015
Black or White,Kevin Costner,2015
Black or White,Octavia Spencer,2015
Black or White,Jillian Estell,2015
Aloha,Bradley Cooper,2015
Aloha,Emma Stone,2015
Aloha,Rachel McAdams,2015
Secret in Their Eyes,Chiwetel Ejiofor,2015
Secret in Their Eyes,Nicole Kidman,2015
Secret in Their Eyes,Julia Roberts,2015
Brooklyn,Saoirse Ronan,2015
Brooklyn,Domhnall Gleeson,2015
Brooklyn,Emory Cohen,2015
Shaun the Sheep,Justin Fletcher,2015
Still Alice,Julianne Moore,2015
Paranormal Activity: The Ghost Dimension,Ivy George,2015
Wild,Reese Witherspoon,2015
Birdman or (The Unexpected Virtue of Ignorance),Michael Keaton,2015
Birdman or (The Unexpected Virtue of Ignorance),Zach Galifianakis,2015
Birdman or (The Unexpected Virtue of Ignorance),Edward Norton,2015
Birdman or (The Unexpected Virtue of Ignorance),Andrea Riseborough,2015
Birdman or (The Unexpected Virtue of Ignorance),Amy Ryan,2015
Birdman or (The Unexpected Virtue of Ignorance),Emma Stone,2015
Birdman or (The Unexpected Virtue of Ignorance),Naomi Watts,2015
Steve Jobs,Michael Fassbender,2015
Mr. Holmes,Ian McKellen,2015
Seventh Son,Jeff Bridges,2015
Seventh Son,Benjamin Barnes,2015
Seventh Son,Julianne Moore,2015
Seventh Son,Alicia Vikander,2015
Concussion,Will Smith,2015
The Transporter Refueled,Ed Skrein,2015
Point Break,Edgar Ramirez,2015
Point Break,Luke Bracey,2015
It Follows,Maika Monroe,2015
American Ultra,Jesse Eisenberg,2015
American Ultra,Kristen Stewart,2015
Woodlawn,Caleb Castille,2015
Burnt,Bradley Cooper,2015
The Hunger Games: Mockingjay - Part 1,Jennifer Lawrence,2015
Do You Believe?,Mira Sorvino,2015
Do You Believe?,Sean Astin,2015
Do You Believe?,Alexa PenaVega,2015
Do You Believe?,Ted McGinley,2015
Do You Believe?,Delroy Lindo,2015
Love & Mercy,Paul Dano,2015
Love & Mercy,John Cusack,2015
Strange Magic,Alan Cumming,2015
Strange Magic,Evan Rachel Wood,2015
Strange Magic,Elijah Kelley,2015
Strange Magic,Meredith Anne Bull,2015
Strange Magic,Sam Palladio,2015
Strange Magic,Kristin Chenoweth,2015
Strange Magic,Maya Rudolph,2015
Strange Magic,Alfred Molina,2015
Strange Magic,Bob Einstein,2015
Strange Magic,Peter Stormare,2015
Hot Tub Time Machine 2,Rob Corddry,2015
Hot Tub Time Machine 2,Craig Robinson,2015
Hot Tub Time Machine 2,Clark Duke,2015
Hot Tub Time Machine 2,Adam Scott,2015
Self/Less,Ryan Reynolds,2015
Far from the Madding Crowd,Carey Mulligan,2015
Far from the Madding Crowd,Matthias Schoenaerts,2015
Back to the Future,Michael J. Fox,2015
The 33,Antonio Banderas,2015
The 33,Rodrigo Santoro,2015
The 33,Juliette Binoche,2015
The 33,Mario Casas,2015
The Woman in Black 2: Angel of Death,Leanne Best,2015
Big Hero 6,Scott Adsit,2015
Big Hero 6,Ryan Potter,2015
The Theory of Everything,Eddie Redmayne,2015
The Theory of Everything,Felicity Jones,2015
The Gunman,Sean Penn,2015
The Gunman,Idris Elba,2015
The Gunman,Ray Winstone,2015
The Gunman,Mark Rylance,2015
The Gunman,Jasmine Trinca,2015
The Gunman,Javier Bardem,2015
Unfinished Business,Vince Vaughn,2015
Unfinished Business,Tom Wilkinson,2015
Unfinished Business,Dave Franco,2015
The Walk,Joseph Gordon-Levitt,2015
Penguins of Madagascar,Tom McGrath,2015
Penguins of Madagascar,Chris Miller,2015
Penguins of Madagascar,Chris Knights,2015
Penguins of Madagascar,Conrad Vernon,2015
Penguins of Madagascar,John Malkovich,2015
Penguins of Madagascar,Benedict Cumberbatch,2015
Penguins of Madagascar,Ken Jeong,2015
Penguins of Madagascar,Annett Mahendru,2015
Penguins of Madagascar,Peter Stormare,2015
Exodus: Gods and Kings,Christian Bale,2015
Exodus: Gods and Kings,Joel Edgerton,2015
Un gallo con muchos huevos,Bruno Bichir,2015
Un gallo con muchos huevos,Angelica Vale,2015
Un gallo con muchos huevos,Omar Chaparro,2015
Un gallo con muchos huevos,Maite Perroni,2015
Un gallo con muchos huevos,Sergio Sendel,2015
Un gallo con muchos huevos,Ninel Conde,2015
Un gallo con muchos huevos,Carlos Espejel,2015
Un gallo con muchos huevos,Facundo,2015
Bajrangi Bhaijaan,Salman Khan,2015
Bajrangi Bhaijaan,Kareena Kapoor Khan*,2015
Doragon bÃ´ru Z: Fukkatsu no 'F',Sean Schemmel,2015
Doragon bÃ´ru Z: Fukkatsu no 'F',Chris Ayres,2015
Blackhat,Chris Hemsworth,2015
Mortdecai,Johnny Depp,2015
Mortdecai,Gwyneth Paltrow,2015
While We're Young,Ben Stiller,2015
While We're Young,Naomi Watts,2015
I'll See You in My Dreams,Blythe Danner,2015
I'll See You in My Dreams,Martin Starr,2015
I'll See You in My Dreams,June Squibb,2015
I'll See You in My Dreams,Rhea Perlman,2015
I'll See You in My Dreams,Mary Kay Place,2015
I'll See You in My Dreams,Malin Akerman,2015
I'll See You in My Dreams,Sam Elliott,2015
The Green Inferno,Lorenza Izzo,2015
Whiplash,Miles Teller,2015
Trumbo,Bryan Cranston,2015
Trumbo,Diane Lane,2015
Trumbo,Helen Mirren,2015
Trumbo,Louis C.K.,2015
Trumbo,Elle Fanning,2015
Trumbo,John Goodman,2015
Trumbo,Michael Stuhlbarg,2015
Our Brand is Crisis,Sandra Bullock,2015
Our Brand is Crisis,Billy Bob Thornton,2015
Grandma,Lily Tomlin,2015
Grandma,Julia Garner,2015
Me and Earl and the Dying Girl,Thomas Mann,2015
Me and Earl and the Dying Girl,Olivia Cooke,2015
Me and Earl and the Dying Girl,RJ Cyler,2015
Inherent Vice,Joaquin Phoenix,2015
Inherent Vice,Josh Brolin,2015
Inherent Vice,Owen Wilson,2015
Inherent Vice,Katherine Waterston,2015
Inherent Vice,Reese Witherspoon,2015
Inherent Vice,Benicio del Toro,2015
Inherent Vice,Jena Malone,2015
Inherent Vice,Maya Rudolph,2015
Inherent Vice,Martin Short,2015
Little Boy,Jacob Salvati,2015
The Gambler,Mark Wahlberg,2015
The Gambler,John Goodman,2015
The Gambler,Brie Larson,2015
The Danish Girl,Eddie Redmayne,2015
The Danish Girl,Alicia Vikander,2015
The Loft,Karl Urban,2015
The Loft,James Marsden,2015
The Loft,Wentworth Miller,2015
The Loft,Eric Stonestreet,2015
The Loft,Matthias Schoenaerts,2015
Bajirao Mastani,Ranveer Singh,2015
Victor Frankenstein,Daniel Radcliffe,2015
Victor Frankenstein,James McAvoy,2015
Danny Collins,Al Pacino,2015
A Most Violent Year,Oscar Isaac,2015
A Most Violent Year,Jessica Chastain,2015
Interstellar,Matthew McConaughey,2015
Carol,Cate Blanchett,2015
Carol,Rooney Mara,2015
Room,Brie Larson,2015
Room,Jacob Tremblay,2015
90 Minutes in Heaven,Hayden Christensen,2015
90 Minutes in Heaven,Kate Bosworth,2015
True Story,Jonah Hill,2015
True Story,James Franco,2015
Dilwale,Shahrukh Khan,2015
Dilwale,Kajol,2015
Dilwale,Varun Dhawan,2015
Dilwale,Kriti Sanon,2015
Suffragette,Carey Mulligan,2015
Suffragette,Helena Bonham Carter,2015
Suffragette,Meryl Streep,2015
Big Eyes,Amy Adams,2015
Big Eyes,Christoph Waltz,2015
Prem Ratan Dhan Payo,Salman Khan,2015
Prem Ratan Dhan Payo,Sonam Kapoor,2015
The Water Diviner,Russell Crowe,2015
Foxcatcher,Steve Carell,2015
Foxcatcher,Channing Tatum,2015
Foxcatcher,Mark Ruffalo,2015
Irrational Man,Joaquin Phoenix,2015
Scouts Guide to the Zombie Apocalypse,Tye Sheridan,2015
Scouts Guide to the Zombie Apocalypse,Halston Sage,2015
Scouts Guide to the Zombie Apocalypse,Logan Miller,2015
Scouts Guide to the Zombie Apocalypse,Sarah Dumont,2015
Scouts Guide to the Zombie Apocalypse,Patrick Schwarzenegger,2015
Spare Parts,George Lopez,2015
Spare Parts,Carlos Penavega*,2015
Spare Parts,Jose Julian,2015
Spare Parts,David Del Rio,2015
Spare Parts,Oscar Guitierrez,2015
We Are Your Friends,Zac Efron,2015
Mommy,Suzanne Clement,2015
Mommy,Antoine Olivier Pilon,2015
What We Do in the Shadows,Jemaine Clement,2015
What We Do in the Shadows,Taika Waititi,2015
What We Do in the Shadows,Jonathan Brugh,2015
Learning to Drive,Patricia Clarkson,2015
Learning to Drive,Ben Kingsley,2015
Phoenix,Nina Hoss,2015
Relatos salvajes,Ricardo Darin,2015
Relatos salvajes,Oscar Martinez,2015
Relatos salvajes,Leonardo Sbaraglia,2015
Relatos salvajes,Erica Rivas,2015
